Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
DeWayne Scales,1981,1984,F,6-8,208,"December 28, 1958",Louisiana State University
Dean Garrett,1997,2002,C,6-10,225,"November 27, 1966",Indiana University
Dean Oliver,2002,2003,G,5-11,180,"November 5, 1978",University of Iowa
Deandre Ayton,2019,2019,C,7-1,250,"July 23, 1998",University of Arizona
Dedric Willoughby,2000,2000,G-F,6-3,180,"May 27, 1974","University of New Orleans, Iowa State University"
Dee Brown,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University
Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",University of Illinois at Urbana-Champaign
Dejounte Murray,2017,2018,G,6-5,170,"September 19, 1996",University of Washington
Delaney Rudd,1990,1993,G,6-2,180,"November 8, 1962",Wake Forest University
Dell Curry,1987,2002,G,6-4,190,"June 25, 1964",Virginia Polytechnic Institute and State University
Dell Demps,1994,1997,G,6-3,205,"February 12, 1970",University of the Pacific
Delon Wright,2016,2019,G,6-5,183,"April 26, 1992",University of Utah
Delonte West,2005,2012,G,6-4,180,"July 26, 1983",Saint Joseph's University
Demetris Nichols,2008,2009,F,6-8,216,"September 4, 1984",Syracuse University
Demetrius Calip,1992,1992,G,6-1,165,"November 18, 1969",University of Michigan
Demetrius Jackson,2017,2019,G,6-1,201,"September 7, 1994",University of Notre Dame
Deng Adel,2019,2019,F,6-7,200,"February 1, 1997",University of Louisville
Deng Gai,2006,2006,F,6-9,250,"March 22, 1982",Fairfield University
Dennis Hopson,1988,1992,G-F,6-5,200,"April 22, 1965",Ohio State University
Dennis Horner,2012,2012,F,6-9,230,"February 5, 1988",North Carolina State University
Dennis Nutt,1987,1987,G,6-2,170,"March 25, 1963",Texas Christian University
Dennis Rodman*,1987,2000,F,6-7,210,"May 13, 1961",Southeastern Oklahoma State University
Dennis Schroder,2014,2019,G,6-1,172,"September 15, 1993",
Dennis Scott,1991,2000,F,6-8,229,"September 5, 1968",Georgia Institute of Technology
Dennis Smith,2018,2019,G,6-3,195,"November 25, 1997",North Carolina State University
Denzel Valentine,2017,2018,G,6-6,210,"November 16, 1993",Michigan State University
Deonte Burton,2019,2019,G,6-5,245,"January 31, 1994","Marquette University, Iowa State University"
DerMarr Johnson,2001,2008,F,6-9,201,"May 5, 1980",University of Cincinnati
Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974","Ohio State University, University of Kentucky"
Derek Fisher,1997,2014,G,6-1,200,"August 9, 1974",University of Arkansas at Little Rock
Derek Grimm,1998,1998,F,6-9,230,"August 3, 1974",University of Missouri
Derek Harper,1984,1999,G,6-4,185,"October 13, 1961",University of Illinois at Urbana-Champaign
Derek Hood,2000,2000,F,6-8,222,"December 22, 1976",University of Arkansas
Derek Smith,1983,1991,G-F,6-6,205,"November 1, 1961",University of Louisville
Derek Strong,1992,2001,F,6-8,220,"February 9, 1968",Xavier University
Deron Williams,2006,2017,G,6-3,200,"June 26, 1984",University of Illinois at Urbana-Champaign
Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University
Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier University
Derrick Byars,2012,2012,F,6-7,220,"April 25, 1984","University of Virginia, Vanderbilt University"
Derrick Caracter,2011,2011,F,6-9,275,"May 4, 1988","University of Louisville, University of Texas at El Paso"
Derrick Chievous,1989,1991,F,6-7,195,"July 3, 1967",University of Missouri
Derrick Coleman,1991,2005,F,6-10,230,"June 21, 1967",Syracuse University
Derrick Dial,2000,2004,G,6-4,184,"December 20, 1975",Eastern Michigan University
Derrick Favors,2011,2019,F-C,6-10,265,"July 15, 1991",Georgia Institute of Technology
Derrick Gervin,1990,1991,F,6-8,200,"March 28, 1963",University of Texas at San Antonio
Derrick Jones,2017,2019,F,6-7,200,"February 15, 1997","University of Nevada, Las Vegas"
Derrick McKey,1988,2002,F-C,6-9,205,"October 10, 1966",University of Alabama
Derrick Phelps,1995,1995,G,6-4,181,"July 31, 1972",University of North Carolina
Derrick Rose,2009,2019,G,6-3,200,"October 4, 1988",University of Memphis
Derrick Rowland,1986,1986,G,6-5,195,"June 21, 1959",State University of New York at Potsdam
Derrick Walton,2018,2018,G,6-1,189,"April 3, 1995",University of Michigan
Derrick White,2018,2019,G,6-4,190,"July 2, 1994",University of Colorado
Derrick Williams,2012,2018,F,6-8,240,"May 25, 1991",University of Arizona
Derrick Zimmerman,2006,2006,G,6-3,195,"December 2, 1981",Mississippi State University
Desmon Farmer,2007,2009,G,6-5,220,"October 7, 1981",University of Southern California
Desmond Ferguson,2004,2004,G-F,6-7,203,"July 22, 1977","University of Missouri, University of Detroit Mercy"
Desmond Mason,2001,2010,F,6-7,224,"October 11, 1977",Oklahoma State University
Desmond Penigar,2004,2004,F,6-7,245,"July 16, 1981",Utah State University
Detlef Schrempf,1986,2001,F-C,6-9,214,"January 21, 1963",University of Washington
Devean George,2000,2010,G-F,6-8,220,"August 29, 1977",Augsburg College
Devin Booker,2016,2019,G,6-6,210,"October 30, 1996",University of Kentucky
Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",University of Texas at San Antonio
Devin Durrant,1985,1986,F,6-7,200,"October 20, 1960",Brigham Young University
Devin Ebanks,2011,2013,F,6-9,215,"October 28, 1989",West Virginia University
Devin Gray,1997,2000,F,6-7,240,"May 31, 1972",Clemson University
Devin Green,2006,2006,G,6-7,210,"October 25, 1982",Hampton University
Devin Harris,2005,2019,G,6-3,185,"February 27, 1983",University of Wisconsin
Devin Robinson,2018,2019,F,6-8,200,"March 7, 1995",University of Florida
Devonte' Graham,2019,2019,G,6-2,185,"February 22, 1995",University of Kansas
Devyn Marble,2015,2016,G-F,6-6,200,"September 21, 1992",University of Iowa
Dewayne Dedmon,2014,2019,C,7-0,245,"August 12, 1989",University of Southern California
Dexter Boney,1997,1997,G,6-4,185,"April 27, 1970","University of Nevada, Las Vegas"
Dexter Cambridge,1993,1993,F,6-7,224,"January 29, 1970",University of Texas at Austin
Dexter Pittman,2011,2014,C,6-11,308,"March 2, 1988",University of Texas at Austin
Dexter Shouse,1990,1990,G,6-2,200,"March 24, 1963",University of South Alabama
Deyonta Davis,2017,2019,C-F,6-11,237,"December 2, 1996",Michigan State University
Diamond Stone,2017,2017,C,6-11,255,"February 10, 1997",University of Maryland
Diante Garrett,2013,2014,G,6-4,190,"November 3, 1988",Iowa State University
Dick Miller,1981,1981,F,6-6,215,"April 26, 1958",University of Toledo
Dickey Simpkins,1995,2002,F,6-9,248,"April 6, 1972",Providence College
Didier Ilunga-Mbenga,2005,2011,C,7-0,245,"December 30, 1980",
Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983","University of California, Los Angeles"
Dikembe Mutombo*,1992,2009,C,7-2,245,"June 25, 1966",Georgetown University
Dillon Brooks,2018,2019,F-G,6-6,220,"January 22, 1996",University of Oregon
Dino Radja*,1994,1997,F-C,6-11,225,"April 24, 1967",
Dion Glover,2000,2005,G,6-5,228,"October 22, 1978",Georgia Institute of Technology
Dion Waiters,2013,2019,G,6-4,215,"December 10, 1991",Syracuse University
Dionte Christmas,2014,2014,G,6-5,205,"September 15, 1986",Temple University
Dirk Minniefield,1986,1988,G,6-3,180,"January 17, 1961",University of Kentucky
Dirk Nowitzki,1999,2019,F,7-0,245,"June 19, 1978",
Doc Rivers,1984,1996,G,6-4,185,"October 13, 1961",Marquette University
Domantas Sabonis,2017,2019,F-C,6-11,240,"May 3, 1996",Gonzaga University
Dominic McGuire,2008,2013,F,6-9,220,"October 20, 1985","University of California, California State University, Fresno"
Dominic Pressley,1989,1989,G,6-2,170,"May 30, 1964",Boston College
Dominique Jones,2011,2013,G,6-4,215,"October 15, 1988",University of South Florida
Dominique Wilkins*,1983,1999,F-G,6-8,215,"January 12, 1960",University of Georgia
Don Collins,1981,1987,F-G,6-6,190,"November 28, 1958",Washington State University
Don MacLean,1993,2001,F,6-10,235,"January 16, 1970","University of California, Los Angeles"
Don Reid,1996,2003,F,6-8,250,"December 30, 1973",Georgetown University
Donald Hodge,1992,1996,C,7-0,230,"February 25, 1969",Temple University
Donald Royal,1990,1998,F,6-8,210,"May 22, 1966",University of Notre Dame
Donald Sloan,2012,2016,G,6-3,205,"January 15, 1988",Texas A&M University
Donald Whiteside,1997,1998,G,5-10,160,"April 25, 1969",Northern Illinois University
Donatas Motiejunas,2013,2019,F-C,7-0,222,"September 20, 1990",
Donell Taylor,2006,2007,G,6-6,180,"July 26, 1982","Okaloosa-Walton Community College, University of Alabama at Birmingham"
Donnell Harvey,2001,2005,F,6-8,220,"August 26, 1980",University of Florida
Donnie Boyce,1996,1997,G,6-5,196,"September 2, 1973",University of Colorado
Donny Marshall,1996,2003,F,6-7,230,"July 17, 1972",University of Connecticut
Donovan Mitchell,2018,2019,G,6-3,215,"September 7, 1996",University of Louisville
Donta Smith,2005,2006,G-F,6-7,215,"November 27, 1983",Southeastern Illinois College
Dontae' Jones,1998,1998,F,6-8,220,"June 2, 1975","Northeast Mississippi Community College, Mississippi State University"
Donte DiVincenzo,2019,2019,G,6-4,203,"January 31, 1997",Villanova University
Donte Grantham,2019,2019,F,6-8,215,"March 19, 1995",Clemson University
Donte Greene,2009,2012,F,6-11,226,"February 21, 1988",Syracuse University
Dontell Jefferson,2009,2009,G,6-5,195,"December 15, 1983",University of Arkansas
Dontonio Wingfield,1995,1998,F,6-8,256,"June 23, 1974",University of Cincinnati
Donyell Marshall,1995,2009,F,6-9,218,"May 18, 1973",University of Connecticut
Dorell Wright,2005,2015,F-G,6-9,205,"December 2, 1985",
Dorian Finney-Smith,2017,2019,F,6-8,220,"May 4, 1993",University of Florida
Doron Lamb,2013,2014,G,6-4,210,"November 6, 1991",University of Kentucky
Doug Christie,1993,2007,G-F,6-6,200,"May 9, 1970",Pepperdine University
Doug Edwards,1994,1996,F,6-7,220,"January 21, 1971",Florida State University
Doug Lee,1992,1995,G-F,6-5,200,"October 24, 1964","Texas A&M University, Purdue University"
Doug McDermott,2015,2019,F,6-8,225,"January 3, 1992",Creighton University
Doug Overton,1993,2004,G,6-3,190,"August 3, 1969",La Salle University
Doug Roth,1990,1990,C,6-11,255,"August 24, 1967",University of Tennessee
Doug Smith,1992,1996,F,6-10,220,"September 17, 1969",University of Missouri
Doug West,1990,2001,G-F,6-6,200,"May 27, 1967",Villanova University
Dragan Bender,2017,2019,F,7-1,225,"November 17, 1997",
Dragan Tarlac,2001,2001,C,6-10,260,"May 9, 1973",
Draymond Green,2013,2019,F,6-7,230,"March 4, 1990",Michigan State University
Drazen Petrovic*,1990,1993,G,6-5,195,"October 22, 1964",
Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Institute of Technology
Drew Eubanks,2019,2019,F,6-10,245,"February 1, 1997",Oregon State University
Drew Gooden,2003,2016,F,6-10,250,"September 24, 1981",University of Kansas
Drew Gordon,2015,2015,F,6-9,245,"July 12, 1990","University of California, Los Angeles, University of New Mexico"
Duane Causwell,1991,2001,C,7-0,240,"May 31, 1968",Temple University
Duane Cooper,1993,1994,G,6-1,185,"June 25, 1969",University of Southern California
Duane Ferrell,1989,1999,F-G,6-7,209,"February 28, 1965",Georgia Institute of Technology
Duane Washington,1988,1993,G,6-4,195,"August 31, 1964",Middle Tennessee State University
Duje Dukan,2016,2016,F,6-9,220,"December 4, 1991",University of Wisconsin
Duncan Robinson,2019,2019,G,6-8,210,"April 22, 1994","Williams College, University of Michigan"
Dusty Hannahs,2019,2019,G,6-3,210,"September 2, 1993","Texas Tech University, University of Arkansas"
Dwayne Bacon,2018,2019,G,6-7,221,"August 30, 1995",Florida State University
Dwayne Jones,2006,2010,F-C,6-11,250,"June 9, 1983",Saint Joseph's University
Dwayne McClain,1986,1986,G,6-6,185,"February 7, 1963",Villanova University
Dwayne Morton,1995,1995,F,6-7,195,"August 8, 1971",University of Louisville
Dwayne Polee,1987,1987,G,6-5,180,"March 2, 1963","University of Nevada, Las Vegas, Pepperdine University"
Dwayne Schintzius,1991,1999,C,7-1,260,"October 14, 1968",University of Florida
Dwayne Whitfield,1996,1996,F,6-9,240,"August 21, 1972",Jackson State University
Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960","University of Kentucky, University of Southern California"
Dwight Buycks,2014,2018,G,6-3,190,"March 6, 1989",Marquette University
Dwight Howard,2005,2019,C,6-11,265,"December 8, 1985",
Dwight Powell,2015,2019,F-C,6-11,240,"July 20, 1991",Stanford University
Dwyane Wade,2004,2019,G,6-4,220,"January 17, 1982",Marquette University
Dyron Nix,1990,1990,F,6-7,210,"February 11, 1967",University of Tennessee
Dzanan Musa,2019,2019,G-F,6-9,208,"May 8, 1999",
E'Twaun Moore,2012,2019,G-F,6-4,191,"February 25, 1989",Purdue University
Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis
Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan University
Earl Clark,2010,2015,F,6-10,225,"January 17, 1988",University of Louisville
Earl Cureton,1981,1997,F-C,6-9,210,"September 3, 1957","Robert Morris University (PA), University of Detroit Mercy"
Earl Jones,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia
Earl Watson,2002,2014,G,6-1,195,"June 12, 1979","University of California, Los Angeles"
Ed Davis,2011,2019,F,6-10,225,"June 5, 1989",University of North Carolina
Ed Gray,1998,1999,G,6-3,210,"September 27, 1975","University of Tennessee, University of California"
Ed Horton,1990,1990,F,6-8,230,"December 17, 1967",University of Iowa
Ed Nealy,1983,1993,F,6-7,238,"February 19, 1960",Kansas State University
Ed O'Bannon,1996,1997,F,6-8,222,"August 14, 1972","University of California, Los Angeles"
Ed Pinckney,1986,1997,F,6-9,195,"March 27, 1963",Villanova University
Ed Rains,1982,1983,F,6-7,190,"December 24, 1956",University of South Alabama
Ed Sherod,1983,1983,G,6-2,170,"September 13, 1959",Virginia Commonwealth University
Ed Stokes,1998,1998,C,7-0,264,"September 3, 1971",University of Arizona
Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",University of North Carolina at Charlotte
Eddie Gill,2001,2009,G,6-0,190,"August 16, 1978",Weber State University
Eddie Griffin,2002,2007,F-C,6-10,220,"May 30, 1982",Seton Hall University
Eddie House,2001,2011,G,6-1,180,"May 14, 1978",Arizona State University
Eddie Hughes,1988,1990,G,5-10,165,"May 26, 1960",Colorado State University
Eddie Johnson,1982,1999,F-G,6-7,215,"May 1, 1959",University of Illinois at Urbana-Champaign
Eddie Jones,1995,2008,G-F,6-6,190,"October 20, 1971",Temple University
Eddie Lee Wilkins,1985,1993,F-C,6-10,220,"May 7, 1962",Gardner-Webb University
Eddie Phillips,1983,1983,F,6-7,225,"September 29, 1961",University of Alabama
Eddie Robinson,2000,2004,G-F,6-8,210,"April 19, 1976",University of Central Oklahoma
Eddy Curry,2002,2013,C,7-0,295,"December 5, 1982",
Edgar Jones,1981,1986,F-C,6-10,225,"June 17, 1956","University of Nevada, Reno"
Edmond Sumner,2018,2019,G,6-6,176,"December 31, 1995",Xavier University
Edmund Lawrence,1981,1981,C,7-0,228,"December 8, 1952",McNeese State University
Eduardo Najera,2001,2012,F,6-8,240,"July 11, 1976",University of Oklahoma
Edwin Ubiles,2012,2012,G,6-6,204,"November 26, 1986",Siena College
Edy Tavares,2016,2017,C,7-3,260,"March 22, 1992",
Efthimi Rentzias,2003,2003,C,6-11,250,"January 11, 1976",
Ekpe Udoh,2011,2019,C-F,6-10,245,"May 20, 1987","University of Michigan, Baylor University"
Elden Campbell,1991,2005,C,6-11,215,"July 23, 1968",Clemson University
Eldridge Recasner,1995,2002,G,6-3,190,"December 14, 1967",University of Washington
Elfrid Payton,2015,2019,G,6-4,185,"February 22, 1994",University of Louisiana at Lafayette
Elias Harris,2014,2014,F,6-8,239,"July 6, 1989",Gonzaga University
Elie Okobo,2019,2019,G,6-3,190,"October 23, 1997",
Elijah Millsap,2015,2017,G-F,6-6,225,"August 12, 1987","University of Louisiana at Lafayette, University of Alabama at Birmingham"
Elliot Perry,1992,2002,G,6-0,150,"March 28, 1969",University of Memphis
Elliot Williams,2012,2016,G,6-5,190,"June 20, 1989","Duke University, University of Memphis"
Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",University of Notre Dame
Elmore Spencer,1993,1997,C,7-0,270,"December 6, 1969","University of Georgia, University of Nevada, Las Vegas"
Elston Turner,1982,1989,G-F,6-5,190,"June 10, 1959",University of Mississippi
Elton Brand,2000,2016,F,6-8,275,"March 11, 1979",Duke University
Emanual Davis,1997,2003,G,6-4,195,"August 27, 1968",Delaware State University
Emanuel Terry,2019,2019,F,6-9,220,"August 21, 1996",Lincoln Memorial University
Emeka Okafor,2005,2018,C-F,6-10,252,"September 28, 1982",University of Connecticut
Emmanuel Mudiay,2016,2019,G,6-5,200,"March 5, 1996",
Enes Kanter,2012,2019,C,6-11,250,"May 20, 1992",
Ennis Whatley,1984,1997,G,6-3,177,"August 11, 1962",University of Alabama
Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana University
Eric Bledsoe,2011,2019,G,6-1,205,"December 9, 1989",University of Kentucky
Eric Dawson,2012,2012,F,6-9,250,"July 7, 1984",Midwestern State University
Eric Gordon,2009,2019,G,6-4,215,"December 25, 1988",Indiana University
Eric Johnson,1990,1990,G,6-2,205,"February 7, 1966","Baylor University, University of Nebraska"
Eric Leckner,1989,1997,C-F,6-11,265,"May 27, 1966",University of Wyoming
Eric Maynor,2010,2014,G,6-3,175,"June 11, 1987",Virginia Commonwealth University
Eric Mobley,1995,1997,C,6-11,235,"February 1, 1970",University of Pittsburgh
Eric Montross,1995,2002,C,7-0,270,"September 23, 1971",University of North Carolina
Eric Moreland,2015,2019,F-C,6-10,238,"December 24, 1991",Oregon State University
Eric Murdock,1992,2000,G,6-1,190,"June 14, 1968",Providence College
Eric Piatkowski,1995,2008,G-F,6-7,215,"September 30, 1970",University of Nebraska
Eric Riley,1994,1999,C,7-0,245,"June 2, 1970",University of Michigan
Eric Snow,1996,2008,G,6-3,190,"April 24, 1973",Michigan State University
Eric Washington,1998,1999,G,6-4,190,"March 23, 1974",University of Alabama
Eric White,1988,1989,F,6-8,200,"December 30, 1965",Pepperdine University
Eric Williams,1996,2007,F,6-8,220,"July 17, 1972",Providence College
Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's University
Erick Dampier,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State University
Erick Green,2015,2016,G,6-4,185,"May 9, 1991",Virginia Polytechnic Institute and State University
Erick Strickland,1997,2005,G,6-3,210,"November 25, 1973",University of Nebraska
Erik Daniels,2005,2005,F,6-8,214,"April 1, 1982",University of Kentucky
Erik McCree,2018,2018,F,6-8,225,"December 20, 1993",Louisiana Tech University
Erik Murphy,2014,2014,F,6-10,230,"October 26, 1990",University of Florida
Ernest Brown,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College
Ersan Ilyasova,2007,2019,F,6-10,235,"May 15, 1987",
Ervin Johnson,1994,2006,C,6-11,245,"December 21, 1967",University of New Orleans
Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",
Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse University
Etdrick Bohannon,1998,2001,F,6-9,220,"May 29, 1973","University of Arizona, University of Tennessee, Auburn University at Montgomery"
Eugene Jeter,2011,2011,G,5-11,175,"December 2, 1983",University of Portland
Evan Eschmeyer,2000,2003,C,6-11,255,"May 30, 1975",Northwestern University
Evan Fournier,2013,2019,G-F,6-7,205,"October 29, 1992",
Evan Turner,2011,2019,G,6-7,220,"October 27, 1988",Ohio State University
Everette Stephens,1989,1991,G,6-2,175,"October 21, 1966",Purdue University
Evers Burns,1994,1994,F,6-8,260,"August 24, 1971",University of Maryland
Evric Gray,1997,1997,F,6-7,235,"December 13, 1969","University of Nevada, Las Vegas"
Fab Melo,2013,2013,C,7-0,255,"June 20, 1990",Syracuse University
Fabricio Oberto,2006,2011,C-F,6-10,245,"March 21, 1975",
Fat Lever,1983,1994,G,6-3,170,"August 18, 1960",Arizona State University
Felipe Lopez,1999,2002,G,6-5,199,"December 19, 1974",St. John's University
Felton Spencer,1991,2002,C,7-0,265,"January 15, 1968",University of Louisville
Fennis Dembo,1989,1989,F,6-5,215,"January 24, 1966",University of Wyoming
Fernando Martin,1987,1987,C,6-9,220,"March 25, 1962",
Festus Ezeli,2013,2016,C,6-11,255,"October 21, 1989",Vanderbilt University
Forrest McKenzie,1987,1987,F,6-7,200,"February 16, 1963",Loyola Marymount University
Francisco Elson,2004,2012,C,7-0,235,"February 28, 1976",University of California
Francisco Garcia,2006,2015,F-G,6-7,195,"December 31, 1981",University of Louisville
Frank Brickowski,1985,1997,F-C,6-9,240,"August 14, 1959",Pennsylvania State University
Frank Jackson,2019,2019,G,6-3,205,"May 4, 1998",Duke University
Frank Johnson,1982,1994,G,6-1,185,"November 23, 1958",Wake Forest University
Frank Kaminsky,2016,2019,F-C,7-0,242,"April 4, 1993",University of Wisconsin
Frank Kornet,1990,1991,F,6-9,225,"January 27, 1967",Vanderbilt University
Frank Mason,2018,2019,G,5-11,190,"April 3, 1994",University of Kansas
Frank Ntilikina,2018,2019,G,6-6,200,"July 28, 1998",
Frank Williams,2003,2005,G,6-3,212,"February 25, 1980",University of Illinois at Urbana-Champaign
Frankie King,1996,1997,G,6-1,185,"June 6, 1972",Western Carolina University
Franklin Edwards,1982,1988,G,6-1,170,"February 2, 1959",Cleveland State University
Fred Cofield,1986,1987,G,6-3,190,"January 4, 1962","University of Oregon, Eastern Michigan University"
Fred Hoiberg,1996,2005,G,6-4,203,"October 15, 1972",Iowa State University
Fred Jones,2003,2009,G-F,6-4,210,"March 11, 1979",University of Oregon
Fred Roberts,1984,1997,F-C,6-10,218,"August 14, 1960",Brigham Young University
Fred VanVleet,2017,2019,G,6-0,195,"February 25, 1994",Wichita State University
Fred Vinson,1995,2000,G,6-4,190,"January 28, 1971",Georgia Institute of Technology
Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",
Furkan Korkmaz,2018,2019,G,6-7,190,"July 24, 1997",
Gabe Pruitt,2008,2009,G,6-4,170,"April 19, 1986",University of Southern California
Gal Mekel,2014,2015,G,6-3,191,"March 4, 1988",Wichita State University
Gani Lawal,2011,2011,F,6-9,234,"November 7, 1988",Georgia Institute of Technology
Garret Siler,2011,2011,C,6-11,305,"October 25, 1986",Augusta State University
Garrett Temple,2010,2019,G,6-6,195,"May 8, 1986",Louisiana State University
Garry Witts,1982,1982,G-F,6-7,190,"July 3, 1959",College of the Holy Cross
Garth Joseph,2001,2001,C,7-2,315,"August 8, 1973",College of Saint Rose
Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida
Gary Clark,2019,2019,F,6-8,225,"November 16, 1994",University of Cincinnati
Gary Forbes,2011,2012,F,6-7,220,"February 25, 1985","University of Virginia, University of Massachusetts Amherst"
Gary Grant,1989,2001,G,6-3,185,"April 21, 1965",University of Michigan
Gary Harris,2015,2019,G,6-4,210,"September 14, 1994",Michigan State University
Gary Leonard,1990,1992,C,7-1,250,"February 16, 1967",University of Missouri
Gary Neal,2011,2017,G,6-4,210,"October 3, 1984","La Salle University, Towson University"
Gary Payton,2017,2019,G,6-3,190,"December 1, 1992",Oregon State University
Gary Payton*,1991,2007,G,6-4,180,"July 23, 1968",Oregon State University
Gary Plummer,1985,1993,F-C,6-9,215,"February 21, 1962",Boston University
Gary Trent,1996,2004,F,6-8,250,"September 22, 1974",Ohio University
Gary Trent,2019,2019,G,6-6,205,"January 18, 1999",Duke University
Gary Voce,1990,1990,F,6-9,240,"November 24, 1965",University of Notre Dame
Gaylon Nickerson,1997,1997,G,6-3,190,"February 5, 1969","Wichita State University, Butler County Community College, Kansas State University, Northwestern Oklahoma State University"
Geert Hammink,1994,1996,C,7-0,262,"July 12, 1969",Louisiana State University
Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University
Geno Carlisle,2005,2005,G,6-3,180,"August 13, 1976","Northwestern University, University of California"
George Hill,2009,2019,G,6-3,188,"May 4, 1986",Indiana University-Purdue University Indianapolis
George King,2019,2019,G-F,6-6,225,"January 15, 1994",University of Colorado
George Lynch,1994,2005,F,6-8,218,"September 3, 1970",University of North Carolina
George McCloud,1990,2002,G-F,6-6,205,"May 27, 1967",Florida State University
George Zidek,1996,1998,C,7-0,250,"August 2, 1973","University of California, Los Angeles"
Georges Niang,2017,2019,F,6-8,230,"June 17, 1993",Iowa State University
Georgi Glouchkov,1986,1986,F,6-8,235,"January 10, 1960",
Georgios Papagiannis,2017,2018,C,7-1,240,"July 3, 1997",
Gerald Brown,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine University
Gerald Fitch,2006,2006,G,6-3,188,"August 12, 1982",University of Kentucky
Gerald Glass,1991,1996,G-F,6-5,221,"November 12, 1967","Delta State University, University of Mississippi"
Gerald Green,2006,2019,G-F,6-7,205,"January 26, 1986",
Gerald Henderson,2010,2017,G,6-5,215,"December 9, 1987",Duke University
Gerald Madkins,1994,1998,G,6-4,200,"April 18, 1969","University of California, Los Angeles"
Gerald Paddio,1991,1994,F-G,6-7,205,"April 21, 1965","University of Nevada, Las Vegas"
Gerald Wallace,2002,2015,F,6-7,215,"July 23, 1982",University of Alabama
Gerald Wilkins,1986,1999,G-F,6-6,185,"September 11, 1963",University of Tennessee at Chattanooga
Gerard King,1999,2001,F,6-9,230,"November 25, 1972",Nicholls State University
Gheorghe Muresan,1994,2000,C,7-7,303,"February 14, 1971",
Gian Clavell,2018,2018,G,6-4,185,"November 26, 1993",Colorado State University
Giannis Antetokounmpo,2014,2019,F-G,6-11,242,"December 6, 1994",
Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona
Glen Davis,2008,2015,F-C,6-9,289,"January 1, 1986",Louisiana State University
Glen Rice,1990,2004,F,6-7,215,"May 28, 1967",University of Michigan
Glen Rice,2014,2015,G,6-6,206,"January 1, 1991",Georgia Institute of Technology
Glenn Hagan,1982,1982,G,6-0,170,"June 25, 1955",St. Bonaventure University
Glenn Robinson,1995,2005,F,6-7,225,"January 10, 1973",Purdue University
Glenn Robinson,2015,2019,G-F,6-6,222,"January 8, 1994",University of Michigan
God Shammgod,1998,1998,G,6-0,169,"April 29, 1976",Providence College
Goran Dragic,2009,2019,G,6-3,190,"May 6, 1986",
Gordan Giricek,2003,2008,G-F,6-6,210,"June 20, 1977",
Gordon Hayward,2011,2019,F-G,6-8,225,"March 23, 1990",Butler University
Gorgui Dieng,2014,2019,C,6-11,252,"January 18, 1990",University of Louisville
Grant Gondrezick,1987,1989,G,6-5,205,"January 19, 1963",Pepperdine University
Grant Hill*,1995,2013,F-G,6-8,225,"October 5, 1972",Duke University
Grant Jerrett,2015,2015,F,6-10,235,"July 8, 1993",University of Arizona
Grant Long,1989,2003,F,6-8,225,"March 12, 1966",Eastern Michigan University
Granville Waiters,1984,1988,C,6-11,225,"January 8, 1961",Ohio State University
Grayson Allen,2019,2019,G,6-5,198,"October 8, 1995",Duke University
Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston
Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, University of Nevada, Las Vegas"
Greg Buckner,2000,2009,G,6-4,210,"September 16, 1976",Clemson University
Greg Butler,1989,1991,C,6-11,240,"March 11, 1966",Stanford University
Greg Dreiling,1987,1997,C,7-1,250,"November 7, 1962","Wichita State University, University of Kansas"
Greg Foster,1991,2003,F-C,6-11,240,"October 3, 1968","University of California, Los Angeles, University of Texas at El Paso"
Greg Graham,1994,1998,G,6-4,174,"November 26, 1970",Indiana University
Greg Grant,1990,1996,G,5-7,140,"August 29, 1966",Trenton State University
Greg Kite,1984,1995,C,6-11,250,"August 5, 1961",Brigham Young University
