ID,Player,From,To,Ht(cm),Wt(kg),Birth Date,Colleges
martida01,Darrick Martin,1995,2008,180.34,170,"March 6, 1971","University of California, Los Angeles"
hancoda01,Darrin Hancock,1995,1997,200.66,205,"November 3, 1971",University of Kansas
hillida01,Darrun Hilliard,2016,2018,198.12,205,"April 13, 1993",Villanova University
johnsda02,Darryl Johnson,1996,1996,185.42000000000002,170,"October 26, 1965",Michigan State University
watkida01,Darryl Watkins,2008,2012,210.82,258,"November 8, 1984",Syracuse University
hamda01,Darvin Ham,1997,2005,200.66,220,"July 23, 1973",Texas Tech University
cookda01,Darwin Cook,1981,1989,190.5,184,"August 6, 1958",University of Portland
maconda01,Daryl Macon,2019,2019,190.5,185,"November 29, 1995",University of Arkansas
battoda01,Dave Batton,1983,1984,208.28,240,"March 26, 1956",University of Notre Dame
brittda01,Dave Britton,1981,1981,193.04,180,"August 29, 1958",Texas A&M University
feitlda01,Dave Feitl,1987,1992,210.82,235,"June 8, 1962",University of Texas at El Paso
hendeda01,Dave Henderson,1988,1988,195.58,195,"July 21, 1964",Duke University
hoppeda01,Dave Hoppen,1988,1993,210.82,235,"March 13, 1964",University of Nebraska
jamerda01,Dave Jamerson,1991,1994,195.58,190,"August 13, 1967",Ohio University
johnsda01,Dave Johnson,1993,1994,200.66,210,"November 16, 1970",Syracuse University
magleda01,Dave Magley,1983,1983,203.2,202,"November 24, 1959",University of Kansas
popsoda01,Dave Popson,1989,1992,208.28,220,"May 17, 1964",University of North Carolina
anderda03,David Andersen,2010,2011,210.82,245,"June 23, 1980",None
benoida01,David Benoit,1992,2001,203.2,220,"May 9, 1968",University of Alabama
burnsda01,David Burns,1982,1982,187.96,180,"July 3, 1958",Saint Louis University
cookeda01,David Cooke,1986,1986,203.2,230,"September 27, 1963",Saint Mary's College of California
harrida01,David Harrison,2005,2008,213.36,280,"August 15, 1982",University of Colorado
leeda02,David Lee,2006,2017,205.74,245,"April 29, 1983",University of Florida
noelda01,David Noel,2007,2007,198.12,230,"February 27, 1984",University of North Carolina
nwabada01,David Nwaba,2017,2019,193.04,219,"January 14, 1993","California Polytechnic State University, San Luis Obispo"
popeda01,David Pope,1985,1986,200.66,220,"April 15, 1962",Norfolk State University
riverda01,David Rivers,1989,1992,182.88,170,"January 20, 1965",University of Notre Dame
robinda01,David Robinson,1990,2003,215.9,235,"August 6, 1965",United States Naval Academy
stockda01,David Stockton,2015,2018,180.34,165,"June 24, 1991",Gonzaga University
thirdda01,David Thirdkill,1983,1987,200.66,195,"April 12, 1960",Bradley University
vanteda01,David Vanterpool,2001,2001,195.58,200,"March 31, 1973",St. Bonaventure University
vaughda02,David Vaughn,1996,1999,205.74,240,"March 23, 1973",University of Memphis
wearda01,David Wear,2015,2015,208.28,230,"September 21, 1990","University of North Carolina, University of California, Los Angeles"
wesleda01,David Wesley,1994,2007,182.88,190,"November 14, 1970",Baylor University
westda01,David West,2004,2018,205.74,250,"August 29, 1980",Xavier University
wingada01,David Wingate,1987,2001,195.58,185,"December 15, 1963",Georgetown University
woodda01,David Wood,1989,1997,205.74,227,"November 30, 1964","University of Nevada, Reno"
bertada01,Davis Bertans,2017,2019,208.28,225,"November 12, 1992",None
reedda01,Davon Reed,2018,2019,195.58,208,"June 11, 1995",University of Miami
foxde01,De'Aaron Fox,2018,2019,190.5,175,"December 20, 1997",University of Kentucky
meltode01,De'Anthony Melton,2019,2019,193.04,200,"May 28, 1998",University of Southern California
jordade01,DeAndre Jordan,2009,2019,210.82,265,"July 21, 1988",Texas A&M University
liggide01,DeAndre Liggins,2012,2018,198.12,209,"March 31, 1988",University of Kentucky
bembrde01,DeAndre' Bembry,2017,2019,198.12,210,"July 4, 1994",Saint Joseph's University
blairde01,DeJuan Blair,2010,2016,200.66,270,"April 22, 1989",University of Pittsburgh
wheatde01,DeJuan Wheat,1998,1999,182.88,165,"October 14, 1973",University of Louisville
derozde01,DeMar DeRozan,2010,2019,200.66,220,"August 7, 1989",University of Southern California
johnsde02,DeMarco Johnson,2000,2000,205.74,245,"October 6, 1975",University of North Carolina at Charlotte
couside01,DeMarcus Cousins,2011,2019,210.82,270,"August 13, 1990",University of Kentucky
nelsode01,DeMarcus Nelson,2009,2009,193.04,200,"November 2, 1985",Duke University
carrode01,DeMarre Carroll,2010,2019,203.2,215,"July 27, 1986","Vanderbilt University, University of Missouri"
jonesde01,DeQuan Jones,2013,2013,203.2,221,"June 20, 1990",University of Miami
diopde01,DeSagana Diop,2002,2013,213.36,300,"January 30, 1982",None
stevede01,DeShawn Stevenson,2001,2013,195.58,210,"April 3, 1981",None
akoonde01,DeVaughn Akoon-Purcell,2019,2019,198.12,200,"June 5, 1993",Illinois State University
scalede01,DeWayne Scales,1981,1984,203.2,208,"December 28, 1958",Louisiana State University
garrede01,Dean Garrett,1997,2002,208.28,225,"November 27, 1966",Indiana University
olivede01,Dean Oliver,2002,2003,180.34,180,"November 5, 1978",University of Iowa
aytonde01,Deandre Ayton,2019,2019,215.9,250,"July 23, 1998",University of Arizona
willode01,Dedric Willoughby,2000,2000,190.5,180,"May 27, 1974","University of New Orleans, Iowa State University"
brownde01,Dee Brown,1991,2002,185.42000000000002,160,"November 29, 1968",Jacksonville University
brownde03,Dee Brown,2007,2009,182.88,185,"August 17, 1984",University of Illinois at Urbana-Champaign
murrade01,Dejounte Murray,2017,2018,195.58,170,"September 19, 1996",University of Washington
ruddde01,Delaney Rudd,1990,1993,187.96,180,"November 8, 1962",Wake Forest University
curryde01,Dell Curry,1987,2002,193.04,190,"June 25, 1964",Virginia Polytechnic Institute and State University
dempsde01,Dell Demps,1994,1997,190.5,205,"February 12, 1970",University of the Pacific
wrighde01,Delon Wright,2016,2019,195.58,183,"April 26, 1992",University of Utah
westde01,Delonte West,2005,2012,193.04,180,"July 26, 1983",Saint Joseph's University
nichode01,Demetris Nichols,2008,2009,203.2,216,"September 4, 1984",Syracuse University
calipde01,Demetrius Calip,1992,1992,185.42000000000002,165,"November 18, 1969",University of Michigan
jacksde01,Demetrius Jackson,2017,2019,185.42000000000002,201,"September 7, 1994",University of Notre Dame
adelde01,Deng Adel,2019,2019,200.66,200,"February 1, 1997",University of Louisville
gaide01,Deng Gai,2006,2006,205.74,250,"March 22, 1982",Fairfield University
hopsode01,Dennis Hopson,1988,1992,195.58,200,"April 22, 1965",Ohio State University
hornede01,Dennis Horner,2012,2012,205.74,230,"February 5, 1988",North Carolina State University
nuttde01,Dennis Nutt,1987,1987,187.96,170,"March 25, 1963",Texas Christian University
rodmade01,Dennis Rodman,1987,2000,200.66,210,"May 13, 1961",Southeastern Oklahoma State University
schrode01,Dennis Schroder,2014,2019,185.42000000000002,172,"September 15, 1993",None
scottde01,Dennis Scott,1991,2000,203.2,229,"September 5, 1968",Georgia Institute of Technology
smithde03,Dennis Smith,2018,2019,190.5,195,"November 25, 1997",North Carolina State University
valende01,Denzel Valentine,2017,2018,198.12,210,"November 16, 1993",Michigan State University
burtode02,Deonte Burton,2019,2019,195.58,245,"January 31, 1994","Marquette University, Iowa State University"
johnsde03,DerMarr Johnson,2001,2008,205.74,201,"May 5, 1980",University of Cincinnati
anderde01,Derek Anderson,1998,2008,195.58,194,"July 18, 1974","Ohio State University, University of Kentucky"
fishede01,Derek Fisher,1997,2014,185.42000000000002,200,"August 9, 1974",University of Arkansas at Little Rock
grimmde01,Derek Grimm,1998,1998,205.74,230,"August 3, 1974",University of Missouri
harpede01,Derek Harper,1984,1999,193.04,185,"October 13, 1961",University of Illinois at Urbana-Champaign
hoodde01,Derek Hood,2000,2000,203.2,222,"December 22, 1976",University of Arkansas
smithde02,Derek Smith,1983,1991,198.12,205,"November 1, 1961",University of Louisville
stronde01,Derek Strong,1992,2001,203.2,220,"February 9, 1968",Xavier University
willide01,Deron Williams,2006,2017,190.5,200,"June 26, 1984",University of Illinois at Urbana-Champaign
alstode01,Derrick Alston,1995,1997,210.82,225,"August 20, 1972",Duquesne University
brownde04,Derrick Brown,2010,2012,200.66,225,"September 8, 1987",Xavier University
byarsde01,Derrick Byars,2012,2012,200.66,220,"April 25, 1984","University of Virginia, Vanderbilt University"
caracde01,Derrick Caracter,2011,2011,205.74,275,"May 4, 1988","University of Louisville, University of Texas at El Paso"
chievde01,Derrick Chievous,1989,1991,200.66,195,"July 3, 1967",University of Missouri
colemde01,Derrick Coleman,1991,2005,208.28,230,"June 21, 1967",Syracuse University
dialde01,Derrick Dial,2000,2004,193.04,184,"December 20, 1975",Eastern Michigan University
favorde01,Derrick Favors,2011,2019,208.28,265,"July 15, 1991",Georgia Institute of Technology
gervide01,Derrick Gervin,1990,1991,203.2,200,"March 28, 1963",University of Texas at San Antonio
jonesde02,Derrick Jones,2017,2019,200.66,200,"February 15, 1997","University of Nevada, Las Vegas"
mckeyde01,Derrick McKey,1988,2002,205.74,205,"October 10, 1966",University of Alabama
phelpde01,Derrick Phelps,1995,1995,193.04,181,"July 31, 1972",University of North Carolina
rosede01,Derrick Rose,2009,2019,190.5,200,"October 4, 1988",University of Memphis
rowlade01,Derrick Rowland,1986,1986,195.58,195,"June 21, 1959",State University of New York at Potsdam
waltode01,Derrick Walton,2018,2018,185.42000000000002,189,"April 3, 1995",University of Michigan
whitede01,Derrick White,2018,2019,193.04,190,"July 2, 1994",University of Colorado
willide02,Derrick Williams,2012,2018,203.2,240,"May 25, 1991",University of Arizona
zimmede01,Derrick Zimmerman,2006,2006,190.5,195,"December 2, 1981",Mississippi State University
farmede01,Desmon Farmer,2007,2009,195.58,220,"October 7, 1981",University of Southern California
fergude01,Desmond Ferguson,2004,2004,200.66,203,"July 22, 1977","University of Missouri, University of Detroit Mercy"
masonde01,Desmond Mason,2001,2010,200.66,224,"October 11, 1977",Oklahoma State University
penigde01,Desmond Penigar,2004,2004,200.66,245,"July 16, 1981",Utah State University
schrede01,Detlef Schrempf,1986,2001,205.74,214,"January 21, 1963",University of Washington
georgde01,Devean George,2000,2010,203.2,220,"August 29, 1977",Augsburg College
bookede01,Devin Booker,2016,2019,198.12,210,"October 30, 1996",University of Kentucky
brownde02,Devin Brown,2003,2010,195.58,220,"December 30, 1978",University of Texas at San Antonio
durrade01,Devin Durrant,1985,1986,200.66,200,"October 20, 1960",Brigham Young University
ebankde01,Devin Ebanks,2011,2013,205.74,215,"October 28, 1989",West Virginia University
grayde01,Devin Gray,1997,2000,200.66,240,"May 31, 1972",Clemson University
greende01,Devin Green,2006,2006,200.66,210,"October 25, 1982",Hampton University
harride01,Devin Harris,2005,2019,190.5,185,"February 27, 1983",University of Wisconsin
robinde01,Devin Robinson,2018,2019,203.2,200,"March 7, 1995",University of Florida
grahade01,Devonte' Graham,2019,2019,187.96,185,"February 22, 1995",University of Kansas
marblde01,Devyn Marble,2015,2016,198.12,200,"September 21, 1992",University of Iowa
dedmode01,Dewayne Dedmon,2014,2019,213.36,245,"August 12, 1989",University of Southern California
boneyde01,Dexter Boney,1997,1997,193.04,185,"April 27, 1970","University of Nevada, Las Vegas"
cambrde01,Dexter Cambridge,1993,1993,200.66,224,"January 29, 1970",University of Texas at Austin
pittmde01,Dexter Pittman,2011,2014,210.82,308,"March 2, 1988",University of Texas at Austin
shousde01,Dexter Shouse,1990,1990,187.96,200,"March 24, 1963",University of South Alabama
davisde01,Deyonta Davis,2017,2019,210.82,237,"December 2, 1996",Michigan State University
stonedi01,Diamond Stone,2017,2017,210.82,255,"February 10, 1997",University of Maryland
garredi02,Diante Garrett,2013,2014,193.04,190,"November 3, 1988",Iowa State University
milledi01,Dick Miller,1981,1981,198.12,215,"April 26, 1958",University of Toledo
simpkdi01,Dickey Simpkins,1995,2002,205.74,248,"April 6, 1972",Providence College
mbengdj01,Didier Ilunga-Mbenga,2005,2011,213.36,245,"December 30, 1980",None
thompdi01,Dijon Thompson,2006,2007,200.66,195,"February 23, 1983","University of California, Los Angeles"
mutomdi01,Dikembe Mutombo,1992,2009,218.44,245,"June 25, 1966",Georgetown University
brookdi01,Dillon Brooks,2018,2019,198.12,220,"January 22, 1996",University of Oregon
radjadi01,Dino Radja,1994,1997,210.82,225,"April 24, 1967",None
glovedi01,Dion Glover,2000,2005,195.58,228,"October 22, 1978",Georgia Institute of Technology
waitedi01,Dion Waiters,2013,2019,193.04,215,"December 10, 1991",Syracuse University
chrisdi01,Dionte Christmas,2014,2014,195.58,205,"September 15, 1986",Temple University
minnidi01,Dirk Minniefield,1986,1988,190.5,180,"January 17, 1961",University of Kentucky
nowitdi01,Dirk Nowitzki,1999,2019,213.36,245,"June 19, 1978",None
riverdo01,Doc Rivers,1984,1996,193.04,185,"October 13, 1961",Marquette University
sabondo01,Domantas Sabonis,2017,2019,210.82,240,"May 3, 1996",Gonzaga University
mcguido01,Dominic McGuire,2008,2013,205.74,220,"October 20, 1985","University of California, California State University, Fresno"
pressdo01,Dominic Pressley,1989,1989,187.96,170,"May 30, 1964",Boston College
jonesdo02,Dominique Jones,2011,2013,193.04,215,"October 15, 1988",University of South Florida
wilkido01,Dominique Wilkins,1983,1999,203.2,215,"January 12, 1960",University of Georgia
collido02,Don Collins,1981,1987,198.12,190,"November 28, 1958",Washington State University
macledo01,Don MacLean,1993,2001,208.28,235,"January 16, 1970","University of California, Los Angeles"
reiddo01,Don Reid,1996,2003,203.2,250,"December 30, 1973",Georgetown University
hodgedo01,Donald Hodge,1992,1996,213.36,230,"February 25, 1969",Temple University
royaldo01,Donald Royal,1990,1998,203.2,210,"May 22, 1966",University of Notre Dame
sloando01,Donald Sloan,2012,2016,190.5,205,"January 15, 1988",Texas A&M University
whitedo01,Donald Whiteside,1997,1998,177.8,160,"April 25, 1969",Northern Illinois University
motiedo01,Donatas Motiejunas,2013,2019,213.36,222,"September 20, 1990",None
taylodo01,Donell Taylor,2006,2007,198.12,180,"July 26, 1982","Okaloosa-Walton Community College, University of Alabama at Birmingham"
harvedo01,Donnell Harvey,2001,2005,203.2,220,"August 26, 1980",University of Florida
boycedo01,Donnie Boyce,1996,1997,195.58,196,"September 2, 1973",University of Colorado
marshdo02,Donny Marshall,1996,2003,200.66,230,"July 17, 1972",University of Connecticut
mitchdo01,Donovan Mitchell,2018,2019,190.5,215,"September 7, 1996",University of Louisville
smithdo04,Donta Smith,2005,2006,200.66,215,"November 27, 1983",Southeastern Illinois College
jonesdo01,Dontae' Jones,1998,1998,203.2,220,"June 2, 1975","Northeast Mississippi Community College, Mississippi State University"
divindo01,Donte DiVincenzo,2019,2019,193.04,203,"January 31, 1997",Villanova University
grantdo01,Donte Grantham,2019,2019,203.2,215,"March 19, 1995",Clemson University
greendo01,Donte Greene,2009,2012,210.82,226,"February 21, 1988",Syracuse University
jeffedo01,Dontell Jefferson,2009,2009,195.58,195,"December 15, 1983",University of Arkansas
wingfdo01,Dontonio Wingfield,1995,1998,203.2,256,"June 23, 1974",University of Cincinnati
marshdo01,Donyell Marshall,1995,2009,205.74,218,"May 18, 1973",University of Connecticut
wrighdo01,Dorell Wright,2005,2015,205.74,205,"December 2, 1985",None
finnedo01,Dorian Finney-Smith,2017,2019,203.2,220,"May 4, 1993",University of Florida
lambdo01,Doron Lamb,2013,2014,193.04,210,"November 6, 1991",University of Kentucky
chrisdo01,Doug Christie,1993,2007,198.12,200,"May 9, 1970",Pepperdine University
edwardo01,Doug Edwards,1994,1996,200.66,220,"January 21, 1971",Florida State University
leedo01,Doug Lee,1992,1995,195.58,200,"October 24, 1964","Texas A&M University, Purdue University"
mcderdo01,Doug McDermott,2015,2019,203.2,225,"January 3, 1992",Creighton University
overtdo01,Doug Overton,1993,2004,190.5,190,"August 3, 1969",La Salle University
rothdo01,Doug Roth,1990,1990,210.82,255,"August 24, 1967",University of Tennessee
smithdo03,Doug Smith,1992,1996,208.28,220,"September 17, 1969",University of Missouri
westdo01,Doug West,1990,2001,198.12,200,"May 27, 1967",Villanova University
bendedr01,Dragan Bender,2017,2019,215.9,225,"November 17, 1997",None
tarladr01,Dragan Tarlac,2001,2001,208.28,260,"May 9, 1973",None
greendr01,Draymond Green,2013,2019,200.66,230,"March 4, 1990",Michigan State University
petrodr01,Drazen Petrovic,1990,1993,195.58,195,"October 22, 1964",None
barrydr01,Drew Barry,1998,2000,195.58,191,"February 17, 1973",Georgia Institute of Technology
eubandr01,Drew Eubanks,2019,2019,208.28,245,"February 1, 1997",Oregon State University
goodedr01,Drew Gooden,2003,2016,208.28,250,"September 24, 1981",University of Kansas
gordodr01,Drew Gordon,2015,2015,205.74,245,"July 12, 1990","University of California, Los Angeles, University of New Mexico"
causwdu01,Duane Causwell,1991,2001,213.36,240,"May 31, 1968",Temple University
coopedu01,Duane Cooper,1993,1994,185.42000000000002,185,"June 25, 1969",University of Southern California
ferredu01,Duane Ferrell,1989,1999,200.66,209,"February 28, 1965",Georgia Institute of Technology
washidu01,Duane Washington,1988,1993,193.04,195,"August 31, 1964",Middle Tennessee State University
dukandu01,Duje Dukan,2016,2016,205.74,220,"December 4, 1991",University of Wisconsin
robindu01,Duncan Robinson,2019,2019,203.2,210,"April 22, 1994","Williams College, University of Michigan"
hannadu01,Dusty Hannahs,2019,2019,190.5,210,"September 2, 1993","Texas Tech University, University of Arkansas"
bacondw01,Dwayne Bacon,2018,2019,200.66,221,"August 30, 1995",Florida State University
jonesdw02,Dwayne Jones,2006,2010,210.82,250,"June 9, 1983",Saint Joseph's University
mccladw01,Dwayne McClain,1986,1986,198.12,185,"February 7, 1963",Villanova University
mortodw01,Dwayne Morton,1995,1995,200.66,195,"August 8, 1971",University of Louisville
poleedw01,Dwayne Polee,1987,1987,195.58,180,"March 2, 1963","University of Nevada, Las Vegas, Pepperdine University"
schindw01,Dwayne Schintzius,1991,1999,215.9,260,"October 14, 1968",University of Florida
whitfdw01,Dwayne Whitfield,1996,1996,205.74,240,"August 21, 1972",Jackson State University
anderdw01,Dwight Anderson,1983,1983,190.5,185,"December 28, 1960","University of Kentucky, University of Southern California"
buyckdw01,Dwight Buycks,2014,2018,190.5,190,"March 6, 1989",Marquette University
howardw01,Dwight Howard,2005,2019,210.82,265,"December 8, 1985",None
poweldw01,Dwight Powell,2015,2019,210.82,240,"July 20, 1991",Stanford University
wadedw01,Dwyane Wade,2004,2019,193.04,220,"January 17, 1982",Marquette University
nixdy01,Dyron Nix,1990,1990,200.66,210,"February 11, 1967",University of Tennessee
musadz01,Dzanan Musa,2019,2019,205.74,208,"May 8, 1999",None
mooreet01,E'Twaun Moore,2012,2019,193.04,191,"February 25, 1989",Purdue University
barroea01,Earl Barron,2006,2015,213.36,250,"August 14, 1981",University of Memphis
boykiea01,Earl Boykins,1999,2012,165.1,135,"June 2, 1976",Eastern Michigan University
clarkea01,Earl Clark,2010,2015,208.28,225,"January 17, 1988",University of Louisville
curetea01,Earl Cureton,1981,1997,205.74,210,"September 3, 1957","Robert Morris University (PA), University of Detroit Mercy"
jonesea01,Earl Jones,1985,1986,213.36,210,"January 13, 1961",University of the District of Columbia
watsoea01,Earl Watson,2002,2014,185.42000000000002,195,"June 12, 1979","University of California, Los Angeles"
davised01,Ed Davis,2011,2019,208.28,225,"June 5, 1989",University of North Carolina
grayed01,Ed Gray,1998,1999,190.5,210,"September 27, 1975","University of Tennessee, University of California"
hortoed01,Ed Horton,1990,1990,203.2,230,"December 17, 1967",University of Iowa
nealyed01,Ed Nealy,1983,1993,200.66,238,"February 19, 1960",Kansas State University
obanned01,Ed O'Bannon,1996,1997,203.2,222,"August 14, 1972","University of California, Los Angeles"
pincked01,Ed Pinckney,1986,1997,205.74,195,"March 27, 1963",Villanova University
rainsed01,Ed Rains,1982,1983,200.66,190,"December 24, 1956",University of South Alabama
sheroed01,Ed Sherod,1983,1983,187.96,170,"September 13, 1959",Virginia Commonwealth University
stokeed01,Ed Stokes,1998,1998,213.36,264,"September 3, 1971",University of Arizona
basdeed01,Eddie Basden,2006,2006,195.58,215,"February 15, 1983",University of North Carolina at Charlotte
gilled01,Eddie Gill,2001,2009,182.88,190,"August 16, 1978",Weber State University
griffed01,Eddie Griffin,2002,2007,208.28,220,"May 30, 1982",Seton Hall University
houseed01,Eddie House,2001,2011,185.42000000000002,180,"May 14, 1978",Arizona State University
hugheed01,Eddie Hughes,1988,1990,177.8,165,"May 26, 1960",Colorado State University
johnsed03,Eddie Johnson,1982,1999,200.66,215,"May 1, 1959",University of Illinois at Urbana-Champaign
jonesed02,Eddie Jones,1995,2008,198.12,190,"October 20, 1971",Temple University
wilkied01,Eddie Lee Wilkins,1985,1993,208.28,220,"May 7, 1962",Gardner-Webb University
philled01,Eddie Phillips,1983,1983,200.66,225,"September 29, 1961",University of Alabama
robined01,Eddie Robinson,2000,2004,203.2,210,"April 19, 1976",University of Central Oklahoma
curryed01,Eddy Curry,2002,2013,213.36,295,"December 5, 1982",None
jonesed01,Edgar Jones,1981,1986,208.28,225,"June 17, 1956","University of Nevada, Reno"
sumneed01,Edmond Sumner,2018,2019,198.12,176,"December 31, 1995",Xavier University
lawreed01,Edmund Lawrence,1981,1981,213.36,228,"December 8, 1952",McNeese State University
najered01,Eduardo Najera,2001,2012,203.2,240,"July 11, 1976",University of Oklahoma
ubileed01,Edwin Ubiles,2012,2012,198.12,204,"November 26, 1986",Siena College
tavarwa01,Edy Tavares,2016,2017,220.98,260,"March 22, 1992",None
rentzef01,Efthimi Rentzias,2003,2003,210.82,250,"January 11, 1976",None
udohek01,Ekpe Udoh,2011,2019,208.28,245,"May 20, 1987","University of Michigan, Baylor University"
campbel01,Elden Campbell,1991,2005,210.82,215,"July 23, 1968",Clemson University
recasel01,Eldridge Recasner,1995,2002,190.5,190,"December 14, 1967",University of Washington
paytoel01,Elfrid Payton,2015,2019,193.04,185,"February 22, 1994",University of Louisiana at Lafayette
harriel01,Elias Harris,2014,2014,203.2,239,"July 6, 1989",Gonzaga University
okoboel01,Elie Okobo,2019,2019,190.5,190,"October 23, 1997",None
millsel01,Elijah Millsap,2015,2017,198.12,225,"August 12, 1987","University of Louisiana at Lafayette, University of Alabama at Birmingham"
perryel01,Elliot Perry,1992,2002,182.88,150,"March 28, 1969",University of Memphis
williel01,Elliot Williams,2012,2016,195.58,190,"June 20, 1989","Duke University, University of Memphis"
benneel01,Elmer Bennett,1995,1997,182.88,170,"February 13, 1970",University of Notre Dame
spencel01,Elmore Spencer,1993,1997,213.36,270,"December 6, 1969","University of Georgia, University of Nevada, Las Vegas"
turneel01,Elston Turner,1982,1989,195.58,190,"June 10, 1959",University of Mississippi
brandel01,Elton Brand,2000,2016,203.2,275,"March 11, 1979",Duke University
davisem01,Emanual Davis,1997,2003,193.04,195,"August 27, 1968",Delaware State University
terryem01,Emanuel Terry,2019,2019,205.74,220,"August 21, 1996",Lincoln Memorial University
okafoem01,Emeka Okafor,2005,2018,208.28,252,"September 28, 1982",University of Connecticut
mudiaem01,Emmanuel Mudiay,2016,2019,195.58,200,"March 5, 1996",None
kanteen01,Enes Kanter,2012,2019,210.82,250,"May 20, 1992",None
whatlen01,Ennis Whatley,1984,1997,190.5,177,"August 11, 1962",University of Alabama
anderer01,Eric Anderson,1993,1994,205.74,220,"May 26, 1970",Indiana University
bledser01,Eric Bledsoe,2011,2019,185.42000000000002,205,"December 9, 1989",University of Kentucky
dawsoer01,Eric Dawson,2012,2012,205.74,250,"July 7, 1984",Midwestern State University
gordoer01,Eric Gordon,2009,2019,193.04,215,"December 25, 1988",Indiana University
johnser01,Eric Johnson,1990,1990,187.96,205,"February 7, 1966","Baylor University, University of Nebraska"
leckner01,Eric Leckner,1989,1997,210.82,265,"May 27, 1966",University of Wyoming
maynoer01,Eric Maynor,2010,2014,190.5,175,"June 11, 1987",Virginia Commonwealth University
mobleer01,Eric Mobley,1995,1997,210.82,235,"February 1, 1970",University of Pittsburgh
montrer01,Eric Montross,1995,2002,213.36,270,"September 23, 1971",University of North Carolina
moreler01,Eric Moreland,2015,2019,208.28,238,"December 24, 1991",Oregon State University
murdoer01,Eric Murdock,1992,2000,185.42000000000002,190,"June 14, 1968",Providence College
piatker01,Eric Piatkowski,1995,2008,200.66,215,"September 30, 1970",University of Nebraska
rileyer01,Eric Riley,1994,1999,213.36,245,"June 2, 1970",University of Michigan
snower01,Eric Snow,1996,2008,190.5,190,"April 24, 1973",Michigan State University
washier01,Eric Washington,1998,1999,193.04,190,"March 23, 1974",University of Alabama
whiteer01,Eric White,1988,1989,203.2,200,"December 30, 1965",Pepperdine University
willier01,Eric Williams,1996,2007,203.2,220,"July 17, 1972",Providence College
barkler01,Erick Barkley,2001,2002,185.42000000000002,177,"February 21, 1978",St. John's University
dampier01,Erick Dampier,1997,2012,210.82,265,"July 14, 1975",Mississippi State University
greener01,Erick Green,2015,2016,193.04,185,"May 9, 1991",Virginia Polytechnic Institute and State University
stricer01,Erick Strickland,1997,2005,190.5,210,"November 25, 1973",University of Nebraska
danieer01,Erik Daniels,2005,2005,203.2,214,"April 1, 1982",University of Kentucky
mccreer01,Erik McCree,2018,2018,203.2,225,"December 20, 1993",Louisiana Tech University
murpher01,Erik Murphy,2014,2014,208.28,230,"October 26, 1990",University of Florida
browner01,Ernest Brown,2002,2002,213.36,244,"May 17, 1979",Indian Hills Community College
ilyaser01,Ersan Ilyasova,2007,2019,208.28,235,"May 15, 1987",None
johnser02,Ervin Johnson,1994,2006,210.82,245,"December 21, 1967",University of New Orleans
batises01,Esteban Batista,2006,2007,208.28,270,"September 2, 1983",None
thomaet01,Etan Thomas,2002,2011,205.74,256,"April 1, 1978",Syracuse University
bohanet01,Etdrick Bohannon,1998,2001,205.74,220,"May 29, 1973","University of Arizona, University of Tennessee, Auburn University at Montgomery"
jetereu01,Eugene Jeter,2011,2011,180.34,175,"December 2, 1983",University of Portland
eschmev01,Evan Eschmeyer,2000,2003,210.82,255,"May 30, 1975",Northwestern University
fournev01,Evan Fournier,2013,2019,200.66,205,"October 29, 1992",None
turneev01,Evan Turner,2011,2019,200.66,220,"October 27, 1988",Ohio State University
stephev01,Everette Stephens,1989,1991,187.96,175,"October 21, 1966",Purdue University
burnsev01,Evers Burns,1994,1994,203.2,260,"August 24, 1971",University of Maryland
grayev01,Evric Gray,1997,1997,200.66,235,"December 13, 1969","University of Nevada, Las Vegas"
melofa01,Fab Melo,2013,2013,213.36,255,"June 20, 1990",Syracuse University
obertfa01,Fabricio Oberto,2006,2011,208.28,245,"March 21, 1975",None
leverfa01,Fat Lever,1983,1994,190.5,170,"August 18, 1960",Arizona State University
lopezfe01,Felipe Lopez,1999,2002,195.58,199,"December 19, 1974",St. John's University
spencfe01,Felton Spencer,1991,2002,213.36,265,"January 15, 1968",University of Louisville
dembofe01,Fennis Dembo,1989,1989,195.58,215,"January 24, 1966",University of Wyoming
martife01,Fernando Martin,1987,1987,205.74,220,"March 25, 1962",None
ezelife01,Festus Ezeli,2013,2016,210.82,255,"October 21, 1989",Vanderbilt University
mckenfo01,Forrest McKenzie,1987,1987,200.66,200,"February 16, 1963",Loyola Marymount University
elsonfr01,Francisco Elson,2004,2012,213.36,235,"February 28, 1976",University of California
garcifr01,Francisco Garcia,2006,2015,200.66,195,"December 31, 1981",University of Louisville
brickfr01,Frank Brickowski,1985,1997,205.74,240,"August 14, 1959",Pennsylvania State University
jacksfr01,Frank Jackson,2019,2019,190.5,205,"May 4, 1998",Duke University
johnsfr01,Frank Johnson,1982,1994,185.42000000000002,185,"November 23, 1958",Wake Forest University
kaminfr01,Frank Kaminsky,2016,2019,213.36,242,"April 4, 1993",University of Wisconsin
kornefr01,Frank Kornet,1990,1991,205.74,225,"January 27, 1967",Vanderbilt University
masonfr01,Frank Mason,2018,2019,180.34,190,"April 3, 1994",University of Kansas
ntilila01,Frank Ntilikina,2018,2019,198.12,200,"July 28, 1998",None
willifr02,Frank Williams,2003,2005,190.5,212,"February 25, 1980",University of Illinois at Urbana-Champaign
